"user_id","install_time","platform","country_region","city","gender","min_age_range","max_age_range","event_1","event_2","event_3","event_4","event_5","target_churn_indicator"
"2ba6f357",2018-07-04 19:24:24,"Android","Santa Cruz","Río Gallegos","male","13","17",1,2,0,1,1,0
"3cb936c1",2018-06-30 13:41:29,"Android","Corrientes","Corrientes","male","13","17",0,7,0,3,0,1
"17d88bbc",2018-06-30 16:02:30,"Android","Cordoba","Villa Carlos Paz","female","18","20",2,1,0,2,2,1
"7baa10b6",2018-07-02 21:08:33,"Android","Buenos Aires","Don Torcuato","female","13","17",5,6,0,2,5,0
"120d379",2018-07-07 04:18:47,"Android","Santiago del Estero","Santiago del Estero","female","13","17",8,12,0,2,3,0
"c35079e1",2018-07-03 05:55:47,"Android","Buenos Aires","Florencio Varela","male","18","20",35,46,4,10,12,0
"54864977",2018-07-04 21:38:12,"Android","Cordoba",NA,"female","13","17",1,0,0,1,1,1
"d66b5d4d",2018-07-01 03:22:32,"Android","Entre Rios","Villa Angelica","male","13","17",38,40,0,6,15,0
"f7169db1",2018-07-02 14:31:58,"Android","Buenos Aires","Gonzalez Catan","female","18","20",1,1,0,4,1,1
"754d523b",2018-07-07 18:43:26,"Android","Buenos Aires","Moron","female","13","17",4,4,0,2,3,1
"114d9ff3",2018-07-02 15:43:23,"Android","Buenos Aires","Mariano Acosta","male","13","17",2,4,0,1,1,0
"8bb0a011",2018-07-02 21:06:10,"Android","Entre Rios","Oro Verde","male","13","17",0,0,0,2,1,1
"c17432c0",2018-07-01 23:36:39,"Android","Mendoza","Mendoza","male","13","17",1,1,0,1,1,1
"eeb71930",2018-07-07 18:26:49,"Android","Buenos Aires F.D.","Buenos Aires","female","18","20",18,27,0,4,7,1
"e2f59e3f",2018-06-30 18:38:17,"Android","Santa Fe","Sunchales","female","13","17",38,64,4,9,3,1
"e7d229dd",2018-07-06 06:45:59,"Android","Salta","Salta","female","18","20",114,115,6,9,17,0
"e8f544a6",2018-07-04 22:18:18,"Android","Buenos Aires","Lanus","male","18","20",6,4,0,4,1,0
"2dc3da8a",2018-07-05 13:36:16,"Android","Buenos Aires","Glew","male","18","20",8,8,0,4,8,0
"82b9911",2018-07-07 21:13:31,"Android","Buenos Aires","Villa Ballester","male","13","17",12,11,1,3,2,0
"be21e5f3",2018-07-02 18:03:20,"Android","Buenos Aires","Tres Arroyos","female","18","20",7,7,0,2,7,1
"fbd9b175",2018-06-30 14:15:31,"Android","Santa Fe","Santa Fe","female","18","20",40,41,0,12,4,1
"34f9a3f5",2018-07-07 13:08:18,"Android","Misiones","Posadas","male","18","20",7,8,0,1,4,1
"c596ea16",2018-07-03 13:12:07,"Android","Buenos Aires","Merlo","male","18","20",14,18,0,1,4,0
"a98ccc55",2018-07-04 01:31:14,"Android","Buenos Aires","San Fernando","female","18","20",9,9,0,2,5,1
"2548e612",2018-07-06 22:18:01,"Android","Neuquen","San Martín de los Andes","female","13","17",15,14,1,1,4,0
"7f4cd29c",2018-07-06 21:40:37,"Android","La Pampa","Eduardo Castex","male","18","20",38,55,2,6,4,0
"2d25a90e",2018-07-04 03:09:29,"Android","Buenos Aires","Ituzaingo","male","13","17",16,15,1,5,3,0
"6e2d9d84",2018-07-05 14:58:43,"Android","Santiago del Estero","Santiago del Estero","male","13","17",0,0,0,1,0,1
"18a338d7",2018-07-06 17:24:11,"Android","Buenos Aires F.D.","Buenos Aires","female","13","17",2,3,0,3,2,1
"ebe93fa4",2018-07-07 02:14:20,"Android","Santa Fe","Santa Fe","female","18","20",9,9,0,2,9,0
"b8eac9d5",2018-07-07 20:29:15,"Android","Buenos Aires","Navarro","female","13","17",55,81,4,11,5,0
"d723f845",2018-07-01 02:55:37,"Android","Buenos Aires","Florencio Varela","male","13","17",15,14,1,2,4,0
"40d686aa",2018-06-30 14:45:58,"Android","Buenos Aires","Bahía Blanca","female","18","20",1,1,0,3,1,1
"e50f9a71",2018-07-03 15:42:34,"Android","Jujuy","San Salvador de Jujuy","male","13","17",7,11,1,5,1,1
"f0345a47",2018-07-02 02:32:07,"Android","Buenos Aires","Berazategui","female","18","20",32,259,7,4,6,0
"a5feb85f",2018-06-30 16:31:02,"Android","Buenos Aires","Florencio Varela","female","18","20",12,12,0,4,4,1
"eef43f8e",2018-07-06 00:22:35,"Android","Buenos Aires","Lanus","male","18","20",23,30,1,4,4,0
"de889c2d",2018-07-01 15:57:11,"Android","Cordoba","Mendiolaza","female","18","20",0,0,0,3,0,1
"75ae3c76",2018-07-01 00:09:40,"Android","Cordoba","Alejo Ledesma","female","18","20",29,28,0,13,12,0
"243a663e",2018-06-30 21:49:43,"Android","Buenos Aires F.D.","Buenos Aires","female","18","20",16,8,0,3,7,1
"8c3d7d10",2018-07-03 02:17:12,"Android","Buenos Aires","Salto","male","13","17",6,24,0,5,4,0
"74bf061c",2018-07-03 18:33:02,"Android","Chaco","Las Brenas","male","18","20",14,23,0,11,14,0
"827737f0",2018-07-02 16:08:59,"Android","Misiones","Alba Posse","male","18","20",1,1,0,1,2,1
"955ddf06",2018-07-03 02:56:24,"Android","Santa Fe","Maximo Paz","female","13","17",3,4,0,2,2,1
"4d0a5bb3",2018-07-07 15:39:32,"Android","Buenos Aires F.D.","Buenos Aires","female","13","17",5,15,0,2,5,1
"4ccdf864",2018-07-02 03:12:31,"Android","Misiones","San Javier","male","18","20",31,29,0,7,13,1
"e78e0073",2018-07-02 19:58:37,"Android","Buenos Aires","San Fernando","female","13","17",7,6,1,3,0,0
"35a17d94",2018-07-07 01:51:11,"Android",NA,NA,"female","18","20",0,0,0,1,0,0
"921690b",2018-07-04 17:04:08,"Android","Tucuman","Tafi del Valle","male","13","17",36,45,0,8,12,0
"81b759d5",2018-07-04 22:19:04,"Android","Buenos Aires F.D.","Buenos Aires","male","13","17",12,12,0,3,2,0
"ef1aec7b",2018-07-06 16:35:22,"Android","Buenos Aires","Ituzaingo","female","18","20",2,11,0,1,2,1
"f705bcd2",2018-07-07 18:26:45,"Android","Buenos Aires F.D.","Buenos Aires","male","13","17",7,4,0,10,9,0
"29023845",2018-07-07 05:45:39,"Android","Buenos Aires","Berazategui","unknown","13","17",3,73,0,3,3,1
"38b6946d",2018-07-06 03:05:27,"Android","Chaco","Resistencia","male","18","20",5,0,0,3,1,0
"85ef5dfe",2018-07-03 02:26:09,"Android","Buenos Aires F.D.","Buenos Aires","female","13","17",7,1,0,3,4,0
"1aafedb8",2018-07-03 21:55:03,"Android","Buenos Aires F.D.","Buenos Aires","male","18","20",2,2,0,3,3,1
"12918082",2018-07-05 02:15:37,"Android","Cordoba","Córdoba","female","13","17",18,21,0,6,4,0
"275d050b",2018-07-03 00:43:12,"Android","Buenos Aires","San Miguel","male","18","20",0,2,0,3,0,1
"9c9a825e",2018-07-02 18:11:03,"Android","Cordoba","Córdoba","male","18","20",5,13,0,3,1,1
