title,published,description,view_count,like_count,dislike_count,comment_count,owner
Mosh's New Year's Gift to You!,2022-01-10T16:00:10Z,"Here's Mosh's gift to you for this new year! Click the link below to redeem your coupon: 

https://codewithmosh.com/p/all-access/",42338,1262,0,215,mosh
Mosh's Xmas Gift (2021),2021-12-20T23:02:36Z,"Here's Mosh's gift to you for this Christmas! Click the link below to redeem your coupon: 

https://codewithmosh.com/p/all-access/",70634,2720,0,345,mosh
50% Off Black Friday Sale,2021-11-22T19:09:19Z,"Thanks to Maggie, I’m offering a 50% off Black Friday sale. Click the link below to redeem your coupon: 

https://codewithmosh.com/p/all-access/",87885,2666,0,351,mosh
Python Django Tutorial for Beginners,2021-06-28T14:00:31Z,"Python Django Tutorial for Beginners - Learn Django for a career in back-end development.  This Django tutorial teaches you everything you need to get started.
- Get the complete Django course (zero to hero): https://bit.ly/3E7Iq4d
- Subscribe for more Django tutorials like this: https://goo.gl/6PYaGF

Other resources:
Python Tutorial for Beginners: https://youtu.be/_uQrJ0TkZlc
MySQL Tutorial for Beginners: https://youtu.be/7S_tz1z_5bA

Want to learn more from me? Check out these links: 
- Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Blog: https://programmingwithmosh.com 

TABLE OF CONTENT 
0:00:00 – Introduction
0:00:58 – Prerequisites
0:01:38 – How to Take this Course
0:02:40 – Getting Started with Django 
0:03:19 – What is Django?
0:06:08 – How the Web Works
0:10:32 – Setting Up the Development Environment 
0:12:33 – Creating Your First Django Project
0:18:44 – Using the Integrated Terminal in VSCode 
0:22:05 – Creating Your First App
0:25:36 – Writing Views
0:27:27 – Mapping URLs to Views
0:32:10 – Using Templates
0:36:19 – Debugging Django Applications in VSCode 
0:44:11 – Using Django Debug Toolbar
0:48:37 – Building a Data Model 
0:49:21 – Introduction to Date Modeling
0:52:00 – Building an E-Commerce Data Model 
0:56:35 – Organizing Models in Apps

#Django #Python 

Django is the most popular framework for quickly building production-grade backends with Python. That's why a lot of companies use it and are looking for developers with Django skills. If you know Python and are looking for a career in backend development, you must have Django on your resume.",527430,12550,0,1267,mosh
Docker Tutorial for Beginners [2021],2021-03-30T15:14:41Z,"Docker Tutorial for Beginners - Learn Docker for a career in software or DevOps engineering. This Docker tutorial teaches you everything you need to get started.
- Get the complete Docker course (zero to hero): https://bit.ly/3sO7Z5H
- Subscribe for more Docker tutorials like this: https://goo.gl/6PYaGF

Want to learn more from me? Check out these links: 
- Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Blog: https://programmingwithmosh.com 

TABLE OF CONTENT 
0:00:00 Introduction
0:00:57 Prerequisites
0:01:40 How to Take This Course
0:02:26 Getting Started with Docker
0:03:10 What is Docker?
0:06:25 Virtual Machines vs Containers 
0:09:39 Docker Architecture
0:11:54 Installing Docker
0:15:29 Development Workflow
0:17:45 Docker in Action
0:27:54 The Linux Command Line 
0:28:47 Linux Distributions
0:29:49 Running Linux
0:35:01 Managing Packages
0:38:35 Linux File System
0:40:33 Navigating the File System
0:44:53 Manipulating Files and Directories 
0:48:20 Editing and Viewing Files
0:52:15 Redirection

#Docker #DevOps

Docker is the de facto standard for building, shipping and running applications in a consistent manner. That's why most companies use it and are looking for developers with Docker skills. If you're looking for a career in software or DevOps engineering, you must have Docker on your resume. And not only that, you should know it well and be able to use it to effectively package and deploy your applications.",716742,16848,0,801,mosh
Docker course is coming!,2021-03-25T17:30:03Z,,40039,1984,0,231,mosh
HTML Tutorial for Beginners: HTML Crash Course [2021],2021-01-11T14:30:10Z,"HTML Tutorial for Beginners - Learn HTML for a career in web development. This HTML tutorial teaches you everything you need to get started.
👍 Enjoyed this video? Please vote for me for Top Tech YouTuber: https://bit.ly/34CIUn3
🔥 Get the complete HTML/CSS course (zero to hero): https://bit.ly/3rUpjG4
👍 Subscribe for more HTML tutorials like this: https://goo.gl/6PYaGF

⭐️ Want to learn more from me? Check out these links: 

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: https://programmingwithmosh.com 

TABLE OF CONTENT 

0:00:00 Introduction
0:01:09 What You Need 
0:03:42 Languages and Tools of Web Development 
0:09:36 How the Web Works
0:14:27 Inspecting HTTP Requests and Responses 
0:18:30 HTML Basics
0:25:41 CSS Basics
0:30:35 Formatting Code
0:32:51 Inspecting Pages Using DevTools
0:35:04 Validating Web Pages
0:39:45 The Head Section
0:43:33 Text
0:50:13 Entities
0:53:42 Hyperlinks
1:03:12 Images

#HTML #WebDevelopment #Coding

HTML is the language behind every website on the Internet! It's a markup language used to define the structure and content of web pages. It's the first language you need to learn if you want to become a web developer.",2795479,77492,0,2863,mosh
5 Front-end Development Skills to Land Your First Job,2021-01-07T14:30:14Z,"Everything you need to know in a simple path to get hired fast. This video is the second part of my Web Development series. In the first part, we covered 5 facts about web development. 

https://www.youtube.com/watch?v=Nb0btdq1164

In this part, we talk about the 5 essential front-end development skills you need to get your first front-end development job. 

Here are some learning resources for you: 
- HTML/CSS: https://youtu.be/qz0aGYrrlhU
- JavaScript: https://youtu.be/W6NZfCO5SIk
- React: https://youtu.be/Ke90Tje7VS0
- TypeScript: https://youtu.be/NjN00cM18Z4
- Git: https://youtu.be/8JJ101D3knE

Fundamental front-end development skills: https://bit.ly/2JJeeWW


⭐️ Want to learn more from me? Check out these links: 

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: https://programmingwithmosh.com",864899,43147,0,856,mosh
"Learn Web Development and Make $78,000/y",2021-01-05T14:30:11Z,"5 Web Development facts you need to know: pros, cons, salary, degree and how to get started. 
👍 Subscribe for more videos like this: https://goo.gl/6PYaGF

Want to become a web developer with an average salary of $78,000 a year? This video answers the frequently-asked questions about web development: 

- Pros and cons of web development 
- Do you need a college degree? 
- What programming languages and tools to learn 
- How long it takes to get job ready

⭐️ Want to learn more from me? Check out these links: 

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: https://programmingwithmosh.com",148227,9175,0,490,mosh
Mosh's Christmas Gift to You!,2020-12-22T00:41:01Z,Sign up today to redeem this offer: https://codewithmosh.com/p/all-access,75912,2578,0,282,mosh
