,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,COUNTRY,FIRST_VACCINE_DATE
0,2020-01-03,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
1,2020-01-04,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
2,2020-01-05,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
3,2020-01-06,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
4,2020-01-07,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
5,2020-01-08,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
6,2020-01-09,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
7,2020-01-10,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
8,2020-01-11,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
9,2020-01-12,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
10,2020-01-13,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
11,2020-01-14,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
12,2020-01-15,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
13,2020-01-16,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
14,2020-01-17,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
15,2020-01-18,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
16,2020-01-19,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
17,2020-01-20,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
18,2020-01-21,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
19,2020-01-22,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
20,2020-01-23,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
21,2020-01-24,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
22,2020-01-25,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
23,2020-01-26,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
24,2020-01-27,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
25,2020-01-28,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
26,2020-01-29,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
27,2020-01-30,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
28,2020-01-31,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
29,2020-02-01,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
30,2020-02-02,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
31,2020-02-03,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
32,2020-02-04,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
33,2020-02-05,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
34,2020-02-06,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
35,2020-02-07,AR,Argentina,AMRO,0,0,0,0,Argentina,2020-12-29
