id,created_on,operation,property_type,country_name,state_name,lat_lon,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2
8ebed78a3c75018c0351ef91a93e1098b03e75c8,2014-11-27,sell,apartment,Argentina,Córdoba,"-31.4121796494,-64.1712732402",62,62,888.84774193548378
8a6dc3c73890f7cce002f8ee6f03bf1d8c04858c,2014-11-19,sell,house,Argentina,Córdoba,"-31.3686142,-64.2264862",240,180,487.503625
7222ebd6e652ea6c0df50c97988b8314a67b6a22,2014-09-03,sell,store,Argentina,Córdoba,"-32.6521427143,-62.3049577995",10000,1000,160.0
6cf16e0c074d7f0d426c36ada31faba4d6b157f0,2015-01-05,sell,house,Argentina,Córdoba,"-31.3183975,-64.290657",325,16250,256.00489230769227
d0e9ecf25d7215e5b1c29b4a6519f536ee6c0917,2014-12-01,sell,apartment,Argentina,Córdoba,"-31.4017318015,-64.2206747204",78,78,535.46782051282048
62d937cbe1b41723c8eb316651c7b3e4c4cd0eb6,2014-12-01,sell,apartment,Argentina,Córdoba,"-31.3616123,-64.2456207",147,147,3061.2244897959185
0f15722bbc51cae277d95f4723bbe11df3beb616,2014-11-27,sell,apartment,Argentina,Córdoba,"-31.396369507,-64.1928930753",53,53,1308.4839622641509
0f40a345414411346b80ffbf7876d17ead25e190,2014-07-22,sell,house,Argentina,Córdoba,"-31.3845912,-64.225213",342,180,498.00011695906437
7b21482c4acb488a3747d6f94f04a7a7157e0142,2014-09-12,sell,house,Argentina,Córdoba,"-31.4612485224,-64.1413163677",85,110,1023.6884705882353
5ec6af6f9794459a944b7ab1d2e8e247a0f11526,2014-11-27,sell,apartment,Argentina,Córdoba,"-31.4127589197,-64.169508955",46,46,1794.7632608695653
123042ec492491c35275c8b93d9d69675e340900,2015-01-15,sell,apartment,Argentina,Córdoba,"-31.4117649,-64.1587679",61,58,962.7278688524591
ad24b820779de7d70bff7dda4fde25cbdc90416a,2014-11-27,sell,apartment,Argentina,Córdoba,"-31.4094326837,-64.1723890391",54,54,999.044074074074
